model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
KAN,3,15,0.001,2000,2000,,7,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,12870,23854,478.100106013997,484.29182600975037,71.62386699928902,251.4560870040441,1405.5635080003412,0.01161733993527075,0.0066510326594905736,0.028593691647267952,0.005958556031271682,0.0014542801035082203,0.00838328351148469,0.009134186297380662,2026-09-20_05-17-59
KAN,2,15,0.0001,2000,2000,,7,2,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,5940,10864,99.14285254099377,100.34029603004456,22.108272998593748,52.2316860005958,105.0515630049631,0.12476733940340591,0.09024212572959585,0.19695025657862392,0.10070636701166658,0.06389674293866605,0.09902391999323912,0.10750473256650088,2026-09-20_05-26-03
KAN,3,15,0.0001,2000,2000,,3,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,8910,15934,479.80561530200066,481.74374127388,48.0912269995315,446.84289200085914,354.70131899637636,0.013142258883857954,0.006069322673029503,0.029874687959029204,0.007564782525467533,0.0016086736956095052,0.007556205665502836,0.009605790778443729,2026-09-20_05-27-44
KAN,1,25,0.0001,2000,2000,,7,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1950,3654,258.9336401710025,268.3943033218384,576.6311169936671,1791.0358950030059,4312.4256980008795,0.03663158081728974,0.142616258359738,0.038972981506451794,0.03585111392090239,0.21682639450096436,0.11787954631266258,0.08962391958851387,2026-09-20_05-35-45
KAN,3,35,0.0001,2000,2000,,7,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,66430,122854,474.804961009002,520.7653477191925,2261.481134002679,8204.177797000739,22418.69741600385,0.004224195009249788,0.004542379022384412,0.007918733749357938,0.0029926820958804043,0.0013892707403846283,0.00559341511638434,0.0043832870158171,2026-09-20_05-40-14
KAN,1,15,0.0001,2000,2000,,7,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1170,2194,254.5710841629989,256.86152052879333,23.694522998994216,66.28102299873717,160.4530779950437,0.040312973841145926,0.35314782861182076,0.05795216659340656,0.03443324292372571,0.3897810393716563,0.34093675835854226,0.19673040122648333,2026-09-20_05-48-55
KAN,2,15,0.0001,2000,2000,,7,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,7020,13024,368.1065189229994,371.8877635002136,63.25729600212071,148.20980800141115,491.48727700230666,0.005308371454620452,0.0016736800384400301,0.006857535181117104,0.004791983545788234,0.001023110144174823,0.0018905366698617656,0.003491025746530241,2026-09-20_05-53-11
KAN,1,15,0.01,2000,2000,,7,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1080,2014,216.16310313899885,217.87560772895813,22.55622699885862,51.62499800644582,104.83552699588472,0.030648190981519174,0.6607711840525169,0.040798029612222515,0.027264911437951393,0.7122392300640819,0.6436151687153286,0.345709687517018,2026-09-20_05-59-23
KAN,3,15,0.0001,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,10890,19894,475.70461170699855,481.27679443359375,59.24682199838571,550.8935760008171,1573.9108769994345,0.0024199555519729566,0.0010779790592605502,0.002586083816067868,0.0023645794639413197,0.000710637055107227,0.0012004263939783249,0.0017489673056167534,2026-09-20_06-03-01
KAN,3,15,0.0001,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,10890,19894,480.5712691630033,486.05765295028687,57.83739499747753,538.5363610039349,1547.0826119999401,0.00310612007200999,0.0010435247509014817,0.006017066721258897,0.0021358045222603546,0.0005154410675781598,0.0012195526453425893,0.002074822411455736,2026-09-20_06-11-03
KAN,3,15,0.0001,2000,2000,,5,2,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,8910,15934,131.71917532299994,132.83944845199585,31.496657997195143,64.29565999860642,158.55011399980867,0.16755789161736767,0.18847119907913307,0.2406595402055106,0.14319067542132,0.1996867890256969,0.18473266909694516,0.17801454534825037,2026-09-20_06-19-09
KAN,3,15,0.0001,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,10890,19894,477.5748113180016,483.3434319496155,61.40353800583398,568.740989001526,1609.1301950000343,0.0033346573775430797,0.002290838986793636,0.003247528205455674,0.003363700434905549,0.0007963995356210074,0.0027889854705178446,0.002812748182168358,2026-09-20_06-21-21
