model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,pde_alpha,pde_beta,epsilon,parameters,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
KAN,1,35,0.01,2000,2000,,7,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,2730,259.12868540700583,269.7122690677643,956.5845040051499,2335.329647990875,4876.871324988315,0.00916719164701766,0.0011926190707265583,0.004187032312947898,0.010827244758374247,0.0015538540295519094,0.0010722074177847748,0.005179905358872109,2026-09-20_23-32-25
KAN,3,25,0.01,2000,2000,,7,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,31800,390.1784576189966,408.56848549842834,1424.703317010426,3997.88779100345,9125.417970994022,0.0013280408829951995,0.0010152206756558538,0.001613901814741001,0.001232753905746599,0.000808709222307275,0.001084057826772047,0.0011716307793255267,2026-09-20_23-36-55
KAN,3,25,0.01,2000,2000,,7,2,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,29150,125.50356810200901,137.54410219192505,952.1518940018723,2501.3644600112457,4661.24113999831,0.006285602646713719,0.0028513613495484307,0.011120909967041423,0.00467383353993782,0.004219773286823017,0.002395224037123569,0.004568481998131075,2026-09-20_23-43-43
KAN,3,15,0.0001,2000,2000,,7,3,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,11880,384.7379041249951,389.79741382598877,52.41672901320271,135.20015000540297,2297.670214000391,0.0021813630664692584,0.0007455216940191567,0.002541215756742235,0.0020614121697115997,0.0007546750989118744,0.0007424705590549173,0.0014634423802442076,2026-09-20_23-46-01
KAN,3,25,0.01,2000,2000,,7,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,34450,493.8695594800083,516.536431312561,1484.969124008785,4738.050517000374,13810.718673994415,0.0008171093667637361,0.0008921206806613327,0.000875159722014811,0.0007977592483467111,0.0007328129527526367,0.0009452232566308979,0.0008546150237125344,2026-09-20_23-52-31
KAN,3,25,0.01,2000,2000,,7,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,34450,505.9107829690038,528.7939887046814,1740.6023169896798,4656.015137996292,13834.779387994786,0.0009830292984056757,0.0015309284776240017,0.001236196124930798,0.0008986403562306349,0.0008618460038293147,0.001753955968888897,0.0012569788880148387,2026-09-21_00-01-07
KAN,2,25,0.01,2000,2000,,3,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,12600,372.1443888720096,382.99649930000305,861.0161630058428,2259.361733988044,4809.45369899564,0.0032849844825108042,0.0006294938708723717,0.0030313072017290167,0.003369543576104734,0.0004790269713603221,0.000679649504043055,0.001957239176691588,2026-09-21_00-09-56
KAN,3,25,0.001,2000,2000,,7,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,34450,479.54439341899706,502.13949608802795,1620.9236709983088,4672.62310400838,13645.855246999417,0.0015086782577149926,0.0009269691236867903,0.0022797033540096173,0.0012516698922834513,0.0007073951027014251,0.0010001604640152452,0.0012178236907008915,2026-09-21_00-16-19
KAN,3,25,0.01,2000,2000,,5,4,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,29150,487.3378470400057,509.6854155063629,1868.2808369921986,3402.834722000989,11135.794044996146,0.0017076647833408317,0.0011743021561240428,0.0017312065930780872,0.001699817513428413,0.000534920009501124,0.0013874295383316828,0.0014409834697324373,2026-09-21_00-24-41
KAN,3,25,0.01,2000,2000,,3,2,gaussian_exponential,5.5,7.0,100,100,1000,42,0.5,5.0,1.0,18550,126.44686645199545,129.0973448753357,43.587110994849354,93.85984600521624,214.66635400429368,0.006326920985101276,0.00224201792764299,0.014671554006064713,0.003545376644780132,0.0021509197855656796,0.0022723839750020927,0.004284469456372134,2026-09-21_00-33-11
